G-number,G-number Full,Value
0768.00,076800,UND
0768.01,076801,UND
0769.00,076900,way
0769.01,076901,way
0770.00,077000,UND
0771.00,077100,UND
0772.00,077200,cum
0773.00,077300,UND
0774.00,077400,UND
0775.00,077500,UND
0776.00,077600,UND
0777.00,077700,li
0778.00,077800,mut
0779.00,077900,UND
0780.00,078000,UND
0781.00,078100,UND
0782.00,078200,xi
0783.00,078300,UND
0784.00,078400,UND
0785.00,078500,ye
0785.01,078501,ye
0786.00,078600,malah
0787.00,078700,UND
0788.00,078800,UND
0789.00,078900,UND
0790.00,079000,UND
0791.00,079100,UND
0791.01,079101,UND
0791.02,079102,UND
0792.00,079200,UND
0792.01,079201,UND
0793.00,079300,UND
0793.01,079301,UND
0794.00,079400,UND
0795.00,079500,UND
0796.00,079600,UND
0797.00,079700,UND
0798.00,079800,UND
0799.00,079900,UND
0800.00,080000,UND
0801.00,080100,UND
0802.00,080200,UND
0803.00,080300,UND
0804.00,080400,UND
0805.00,080500,UND
0806.00,080600,UND
0807.00,080700,UND
0808.00,080800,UND
0809.00,080900,UND
0810.00,081000,UND
0811.00,081100,UND
0812.00,081200,UND
0813.00,081300,UND
0814.00,081400,UND
0815.00,081500,UND
0816.00,081600,UND
0817.00,081700,UND
0818.00,081800,UND
0819.00,081900,UND
0819.00,081900,ix
0820.00,082000,UND
0821.00,082100,UND
0822.00,082200,UND
0823.00,082300,UND
0824.00,082400,UND
0825.00,082500,UND
0826.00,082600,ol
0826.00,082600,wah
0827.00,082700,UND
0828.00,082800,UND
0829.00,082900,UND
0830.00,083000,UND
0831.00,083100,UND
0832.00,083200,UND
0833.00,083300,UND
0834.00,083400,o
0835.00,083500,UND
0836.00,083600,UND
0837.00,083700,UND
0838.00,083800,UND
0839.00,083900,UND
0840.00,084000,UND
0841.00,084100,ak'b'al
0842.00,084200,UND
0843.00,084300,yib
0843.00,084300,yi
0844.00,084400,UND
0845.00,084500,UND
0846.00,084600,UND
0847.00,084700,UND
0848.00,084800,UND
0849.00,084900,UND
0850.00,085000,ek'-k'an
0851.00,085100,nal
0852.00,085200,UND
0853.00,085300,UND
0854.00,085400,pu
0855.00,085500,UND
0856.00,085600,UND
1000.00,100000,ahaw
1000.00,100000,na
1000.01,100001,ahaw
1000.02,100002,ahaw
1000.03,100003,ahaw
1000.04,100004,ahaw
1000.05,100005,ahaw
1000.06,100006,ahaw
1000.07,100007,ahaw
1000.08,100008,ahaw
1001.00,100100,hoy_nal
1002.00,100200,na
1002.01,100201,na
1002.02,100202,UND
1003.00,100300,yax
1003.00,100300,bolon
1003.01,100301,UND
1003.02,100302,UND
1004.00,100400,sahal
1004.01,100401,sa
1005.00,100500,kab'
1005.01,100501,UND
1006.00,100600,nal
1006.01,100601,UND
1006.02,100602,UND
1007.00,100700,wak
1007.01,100701,wak
1008.00,100800,u
1009.00,100900,UND
1009.01,100901,UND
1009.02,100902,UND
1009.03,100903,UND
1010.00,101000,k'in
1010.01,101001,k'in
1010.02,101002,k'in
1011.00,101100,hunal_ye
1011.00,101100,zuk
1012.00,101200,u
1013.00,101300,mwan
1013.01,101301,mwan
1013.02,101302,mwan
1014.00,101400,hoy
1014.01,101401,UND
1014.02,101402,hoy
1015.00,101500,UND
1016.00,101600,k'u
1016.01,101601,k'u
1016.02,101602,k'u
1017.00,101700,zuk
1017.00,101700,zu
1017.01,101701,zuk
1017.01,101701,zu
1018.00,101800,hoy
1018.01,101801,UND
1018.02,101802,UND
1019.00,101900,ni
1020.00,102000,k'awil
1021.00,102100,UND
1021.01,102101,UND
1022.00,102200,ze
1023.00,102300,UND
1024.00,102400,UND
1025.00,102500,ah
1025.01,102501,ah
1026.00,102600,UND
1027.00,102700,UND
1028.00,102800,UND
1028.01,102801,UND
1028.02,102802,UND
1028.03,102803,UND
1029.00,102900,UND
1030.00,103000,k'awil
1030.01,103001,k'awil
1030.02,103002,k'awil
1030.03,103003,k'awil
1030.04,103004,k'awil
1030.05,103005,k'awil
1030.06,103006,k'awil
1030.07,103007,k'awil
1030.08,103008,cak_te'
1030.09,103009,cak_te'
1030.10,103010,cak_te'
1030.11,103011,cak_te'
1030.12,103012,cak_te'
1030.13,103013,cak_te'
1030.14,103014,hun
1030.15,103015,tun
1030.15,103015,ku
1030.16,103016,UND
1031.00,103100,nab
